Name,Price (TRY),Price (USD),Price (TRY - USD),Difference (US tore- TR store),Platform
God of War®: Ghost of Sparta [PSP],36.0,14.99,1.09,13.9,PS Vita / PSP
God of War®: Ghost of Sparta,69.0,29.99,2.09,27.9,PS3
God of War®: Chains of Olympus,69.0,29.99,2.09,27.9,PS3
God of War Ragnarök Digital Deluxe Sürümü,2249.0,69.99,67.97,2.02,PS5 / PS4
God of War Ragnarök,2799.0,69.99,84.6,-14.61,PS5 / PS4
God of War Ragnarök,2499.0,19.99,75.53,-55.54,PS4
God of War™,499.0,19.99,15.08,4.91,PS4
God of War Comic Book 1,0.0,19.99,0.0,19.99,PS4
God of War™ Dijital Deluxe Sürüm,749.0,19.99,22.64,-2.65,PS4
God of War® II HD,69.0,29.99,2.09,27.9,PS3
God of War® HD,69.0,29.99,2.09,27.9,PS3
God of War® Collection,84.0,29.99,2.54,27.45,PS3
God of War® Collection Volume II,84.0,29.99,2.54,27.45,PS3
God of War: Ascension™,64.0,29.99,1.93,28.06,PS3
God of War® Collection,114.0,14.99,3.45,11.54,PS Vita
God of War: Ascension™ Ultimate Edition,84.0,29.99,2.54,27.45,PS3
God of War® III Remastered,699.0,19.99,21.13,-1.14,PS4
God of War®: Chains of Olympus [PSP],36.0,14.99,1.09,13.9,PS Vita / PSP
Marvel’s Spider-Man 2 Dijital Deluxe Sürümü,1699.0,49.99,51.35,-1.36,PS5
Marvel’s Spider-Man 2,1999.0,49.99,60.42,-10.43,PS5
Marvel's Spider-Man Remastered,466.78,49.99,14.11,35.88,PS5
Marvel's Spider-Man: Miles Morales Ultimate Edition,619.0,49.99,18.71,31.28,PS5 / PS4
Marvel's Spider-Man: Miles Morales PS4 and PS5,459.0,49.99,13.87,36.12,PS5 / PS4
Marvel’s Spider-Man: Game of the Year Edition,309.0,39.99,9.34,30.65,PS4
Marvel’s Spider-Man,249.0,39.99,7.53,32.46,PS4
Sekiro™: Shadows Die Twice - Game of the Year Sürümü,469.0,59.99,14.17,45.82,PS4
Sekiro™: Shadows Die Twice - Game of the Year Sürümü,469.0,59.99,14.17,45.82,PS4
